0.000000	1.200000
0.015038	1.425564
0.030075	1.651128
0.045113	1.876692
0.060150	2.102256
0.075188	2.327820
0.090226	2.553383
0.105263	2.778947
0.120301	3.000000
0.135338	3.000000
0.150376	3.000000
0.165414	3.000000
0.180451	3.000000
0.195489	3.000000
0.210526	3.000000
0.225564	3.000000
0.240602	3.000000
0.255639	3.000000
0.270677	3.000000
0.285714	3.000000
0.300752	3.000000
0.315789	3.000000
0.330827	3.000000
0.345865	3.000000
0.360902	3.000000
0.375940	3.000000
0.390977	3.000000
0.406015	3.000000
0.421053	3.000000
0.436090	3.000000
0.451128	3.000000
0.466165	3.000000
0.481203	3.000000
0.496241	3.000000
0.511278	3.000000
0.526316	3.000000
0.541353	3.000000
0.556391	3.000000
0.571429	3.000000
0.586466	3.000000
0.601504	2.992500
0.616541	2.919512
0.631579	2.850000
0.646617	2.783721
0.661654	2.720455
0.676692	2.660000
0.691729	2.602174
0.706767	2.546809
0.721805	2.493750
0.736842	2.442857
0.751880	2.394000
0.766917	2.347059
0.781955	2.301923
0.796992	2.258491
0.812030	2.216667
0.827068	2.176364
0.842105	2.137500
0.857143	2.100000
0.872180	2.063793
0.887218	2.028814
0.902256	1.995000
0.917293	1.962295
0.932331	1.930645
0.947368	1.900000
0.962406	1.870312
0.977444	1.841538
0.992481	1.813636
1.007519	1.786567
1.022556	1.760294
1.037594	1.734783
1.052632	1.710000
1.067669	1.685915
1.082707	1.662500
1.097744	1.639726
1.112782	1.617568
1.127820	1.596000
1.142857	1.575000
1.157895	1.554545
1.172932	1.534615
1.187970	1.515190
1.203008	1.496250
1.218045	1.477778
1.233083	1.459756
1.248120	1.442169
1.263158	1.425000
1.278195	1.408235
1.293233	1.391860
1.308271	1.375862
1.323308	1.360227
1.338346	1.344944
1.353383	1.330000
1.368421	1.315385
1.383459	1.301087
1.398496	1.287097
1.413534	1.273404
1.428571	1.260000
1.443609	1.246875
1.458647	1.234021
1.473684	1.221429
1.488722	1.209091
1.503759	1.197000
1.518797	1.185149
1.533835	1.173529
1.548872	1.162136
1.563910	1.150962
1.578947	1.140000
1.593985	1.129245
1.609023	1.118692
1.624060	1.108333
1.639098	1.098165
1.654135	1.088182
1.669173	1.078378
1.684211	1.068750
1.699248	1.059292
1.714286	1.050000
1.729323	1.040870
1.744361	1.031897
1.759398	1.023077
1.774436	1.014407
1.789474	1.005882
1.804511	0.997500
1.819549	0.989256
1.834586	0.981148
1.849624	0.973171
1.864662	0.965323
1.879699	0.957600
1.894737	0.950000
1.909774	0.942520
1.924812	0.935156
1.939850	0.927907
1.954887	0.920769
1.969925	0.913740
1.984962	0.906818
2.000000	0.900000
2.015038	0.893284
2.030075	0.886667
2.045113	0.880147
2.060150	0.873723
2.075188	0.867391
2.090226	0.861151
2.105263	0.855000
2.120301	0.848936
2.135338	0.842958
2.150376	0.837063
2.165414	0.831250
2.180451	0.825517
2.195489	0.819863
2.210526	0.814286
2.225564	0.808784
2.240602	0.803356
2.255639	0.798000
2.270677	0.792715
2.285714	0.787500
2.300752	0.782353
2.315789	0.777273
2.330827	0.772258
2.345865	0.767308
2.360902	0.762420
2.375940	0.757595
2.390977	0.752830
2.406015	0.748125
2.421053	0.743478
2.436090	0.738889
2.451128	0.734356
2.466165	0.729878
2.481203	0.725455
2.496241	0.721084
2.511278	0.716766
2.526316	0.712500
2.541353	0.708284
2.556391	0.704118
2.571429	0.700000
2.586466	0.695930
2.601504	0.691908
2.616541	0.687931
2.631579	0.684000
2.646617	0.680114
2.661654	0.676271
2.676692	0.672472
2.691729	0.668715
2.706767	0.665000
2.721805	0.661326
2.736842	0.657692
2.751880	0.654098
2.766917	0.650543
2.781955	0.647027
2.796992	0.643548
2.812030	0.640107
2.827068	0.636702
2.842105	0.633333
2.857143	0.630000
2.872180	0.626702
2.887218	0.623438
2.902256	0.620207
2.917293	0.617010
2.932331	0.613846
2.947368	0.610714
2.962406	0.607614
2.977444	0.604545
2.992481	0.601508
3.007519	0.598500
3.022556	0.595522
3.037594	0.592574
3.052632	0.589655
3.067669	0.586765
3.082707	0.583902
3.097744	0.581068
3.112782	0.578261
3.127820	0.575481
3.142857	0.572727
3.157895	0.570000
3.172932	0.567299
3.187970	0.564623
3.203008	0.561972
3.218045	0.559346
3.233083	0.556744
3.248120	0.554167
3.263158	0.551613
3.278195	0.549083
3.293233	0.546575
3.308271	0.544091
3.323308	0.541629
3.338346	0.539189
3.353383	0.536771
3.368421	0.534375
3.383459	0.532000
3.398496	0.529646
3.413534	0.527313
3.428571	0.525000
3.443609	0.522707
3.458647	0.520435
3.473684	0.518182
3.488722	0.515948
3.503759	0.513734
3.518797	0.511538
3.533835	0.509362
3.548872	0.507203
3.563910	0.505063
3.578947	0.502941
3.593985	0.500837
3.609023	0.498750
3.624060	0.496680
3.639098	0.494628
3.654135	0.492593
3.669173	0.490574
3.684211	0.488571
3.699248	0.486585
3.714286	0.484615
3.729323	0.482661
3.744361	0.480723
3.759398	0.478800
3.774436	0.476892
3.789474	0.475000
3.804511	0.473123
3.819549	0.471260
3.834586	0.469412
3.849624	0.467578
3.864662	0.465759
3.879699	0.463953
3.894737	0.462162
3.909774	0.460385
3.924812	0.458621
3.939850	0.456870
3.954887	0.455133
3.969925	0.453409
3.984962	0.451698
4.000000	0.450000
4.015038	0.448315
4.030075	0.446642
4.045113	0.444981
4.060150	0.443333
4.075188	0.441697
4.090226	0.440074
4.105263	0.438462
4.120301	0.436861
4.135338	0.435273
4.150376	0.433696
4.165414	0.432130
4.180451	0.430576
4.195489	0.429032
4.210526	0.427500
4.225564	0.425979
4.240602	0.424468
4.255639	0.422968
4.270677	0.421479
4.285714	0.420000
4.300752	0.418531
4.315789	0.417073
4.330827	0.415625
4.345865	0.414187
4.360902	0.412759
4.375940	0.411340
4.390977	0.409932
4.406015	0.408532
4.421053	0.407143
4.436090	0.405763
4.451128	0.404392
4.466165	0.403030
4.481203	0.401678
4.496241	0.400334
4.511278	0.399000
4.526316	0.397674
4.541353	0.396358
4.556391	0.395050
4.571429	0.393750
4.586466	0.392459
4.601504	0.391176
4.616541	0.389902
4.631579	0.388636
4.646617	0.387379
4.661654	0.386129
4.676692	0.384887
4.691729	0.383654
4.706767	0.382428
4.721805	0.381210
4.736842	0.380000
4.751880	0.378797
4.766917	0.377603
4.781955	0.376415
4.796992	0.375235
4.812030	0.374063
4.827068	0.372897
4.842105	0.371739
4.857143	0.370588
4.872180	0.369444
4.887218	0.368308
4.902256	0.367178
